Output[163]: {-0.011354,0.591074}	FIRST SYMBOL	Pass
Output[164]: {0.361308,-0.448118}	FIRST SYMBOL	Pass
Output[165]: {-0.591996,0.071773}	FIRST SYMBOL	Pass
Output[166]: {0.431861,0.409517}	FIRST SYMBOL	Pass
Output[167]: {-0.154701,-0.454155}	FIRST SYMBOL	Pass
Output[168]: {-0.235117,0.397599}	FIRST SYMBOL	Pass
Output[169]: {0.387804,-0.140452}	FIRST SYMBOL	Pass
Output[170]: {-0.294265,-0.143996}	FIRST SYMBOL	Pass
Output[171]: {0.189863,0.266572}	FIRST SYMBOL	Pass
Output[172]: {0.057851,-0.225115}	FIRST SYMBOL	Pass
Output[173]: {-0.213097,0.163714}	FIRST SYMBOL	Pass
Output[174]: {0.176574,0.002984}	FIRST SYMBOL	Pass
Output[175]: {-0.180651,-0.153194}	FIRST SYMBOL	Pass
Output[176]: {0.0526,0.206361}	FIRST SYMBOL	Pass
Output[177]: {0.02213,-0.170157}	FIRST SYMBOL	Pass
Output[178]: {-0.06052,0.174118}	FIRST SYMBOL	Pass
Output[179]: {0.12885,-0.066077}	FIRST SYMBOL	Pass
Output[180]: {-0.158923,-0.064694}	FIRST SYMBOL	Pass
Output[181]: {0.156262,0.151189}	FIRST SYMBOL	Pass
Output[182]: {-0.076971,-0.2902}	FIRST SYMBOL	Pass
Output[183]: {-0.151611,0.237501}	FIRST SYMBOL	Pass
Output[184]: {0.292149,-0.109478}	FIRST SYMBOL	Pass
Output[185]: {-0.309192,-0.12836}	FIRST SYMBOL	Pass
Output[186]: {0.202768,0.314711}	FIRST SYMBOL	Pass
Output[187]: {0.064359,-0.368015}	FIRST SYMBOL	Pass
Output[188]: {-0.281424,0.302401}	FIRST SYMBOL	Pass
Output[189]: {0.359518,-0.068491}	FIRST SYMBOL	Pass
Output[190]: {-0.373226,-0.244855}	FIRST SYMBOL	Pass
Output[191]: {-0.009926,0.43277}	FIRST SYMBOL	Pass
Output[192]: {0.232363,-0.355396}	FIRST SYMBOL	Pass
Output[193]: {-0.427839,0.032882}	FIRST SYMBOL	Pass
Output[194]: {0.392229,0.299791}	FIRST SYMBOL	Pass
Output[195]: {-0.278115,-0.560394}	FIRST SYMBOL	Pass
Output[196]: {-0.222085,0.482293}	FIRST SYMBOL	Pass
Output[197]: {0.501893,-0.291762}	FIRST SYMBOL	Pass
Output[198]: {-0.489664,-0.149446}	FIRST SYMBOL	Pass
Output[199]: {0.283518,0.442259}	FIRST SYMBOL	Pass
Output[200]: {0.126846,-0.435946}	FIRST SYMBOL	Pass
Output[201]: {-0.302048,0.136168}	FIRST SYMBOL	Pass
Output[202]: {0.391368,0.053754}	FIRST SYMBOL	Pass
Output[203]: {-0.254603,-0.45037}	FIRST SYMBOL	Pass
Output[204]: {-0.107383,0.41587}	FIRST SYMBOL	Pass
Output[205]: {0.361181,-0.276637}	FIRST SYMBOL	Pass
Output[206]: {-0.354549,-0.106233}	FIRST SYMBOL	Pass
Output[207]: {0.199681,0.32518}	FIRST SYMBOL	Pass
Output[208]: {0.028179,-0.323724}	FIRST SYMBOL	Pass
Output[209]: {-0.367623,0.168423}	FIRST SYMBOL	Pass
Output[210]: {0.28224,0.038141}	FIRST SYMBOL	Pass
Output[211]: {-0.133473,-0.287229}	FIRST SYMBOL	Pass
Output[212]: {-0.113161,0.22516}	FIRST SYMBOL	Pass
Output[213]: {0.264133,-0.138571}	FIRST SYMBOL	Pass
Output[214]: {-0.218891,-0.074318}	FIRST SYMBOL	Pass
Output[215]: {0.092479,0.243964}	FIRST SYMBOL	Pass
