(0.538899,-0.752604)
(-0.84102,0.158147)
(0.813767,0.351294)
(-0.261434,-0.75281)
(-0.263319,0.794912)
(0.689533,-0.379728)
(-0.795697,-0.148342)
(0.45495,0.661737)
(0.0577164,-0.671321)
(-0.516918,0.568414)
(0.743015,-0.0169516)
(-0.602921,-0.471245)
(0.202434,0.766174)
(0.369758,-0.683341)
(-0.787499,0.273381)
(0.795179,0.300801)
(-0.366956,-0.721181)
(-0.274303,0.772161)
(0.70884,-0.497686)
(-0.82791,-0.20573)
(0.465719,0.617685)
(0.0608244,-0.839478)
(-0.663659,0.581773)
(0.902871,-0.0296011)
(-0.76348,-0.594255)
(0.0637598,0.8712)
(0.564061,-0.65243)
(-0.864238,0.224636)
(0.691409,0.47631)
(-0.270102,-0.943189)
(-0.433845,0.779025)
(0.815823,-0.195582)
(-0.794493,-0.326293)
(0.361812,0.782641)
(0.223722,-0.79952)
(-0.736632,0.372301)
(0.834263,0.231864)
(-0.535733,-0.64035)
(-0.111175,0.737623)
(0.618995,-0.522837)
(-0.765693,-0.0690365)
(0.623932,0.637369)
(-0.0315456,-0.709571)
(-0.501595,0.629593)
(0.750651,0.00299263)
(-0.617005,-0.412089)
(0.190811,0.647139)
(0.262087,-0.582646)
(-0.643917,0.197625)
(0.597921,0.271064)
(-0.326692,-0.565784)
(-0.213029,0.597054)
(0.496029,-0.286339)
(-0.478266,-0.0345917)
(0.36196,0.408566)
(-0.0192013,-0.480636)
(-0.406308,0.336076)
(0.525488,-0.0764446)
(-0.420194,-0.202564)
(0.166849,0.426233)
(0.219931,-0.469279)
(-0.378605,0.179923)
(0.411692,0.106724)
(-0.254959,-0.336006)
(-0.0271826,0.408312)
(0.252259,-0.31743)
(-0.393318,-0.00694561)
(0.305978,0.195128)
(-0.0713387,-0.413081)
(-0.262116,0.346395)
(0.371959,-0.170305)
(-0.329104,-0.154589)
(0.123172,0.318278)
(0.0690022,-0.370803)
(-0.365332,0.150028)
(0.322016,0.0896292)
(-0.134029,-0.196136)
(0.0113783,0.336082)
(0.260467,-0.144901)
(-0.303923,-0.12418)
(0.196951,0.154096)
(0.00350189,-0.349405)
(-0.257437,0.13988)
(0.30403,0.0224438)
(-0.203207,-0.190123)
(-0.058485,0.287294)
(0.175344,-0.163334)
(-0.314742,-0.0248928)
(0.0726032,0.188911)
(0.0880585,-0.335468)
(-0.265972,0.0951509)
(0.190225,0.0898237)
(-0.0628376,-0.225584)
(-0.184549,0.228392)
(0.29429,-0.0240154)
(-0.232452,-0.160426)
(0.129275,0.330215)
(0.225665,-0.296062)
(-0.272784,0.00878906)
