Real	Imaginary
c10ebee0	3f88b440
40f56930	40988490
c0b73c10	3e3e2400
40db7d40	c0b26560
c0004b60	c0babb50
bf6cd700	40c859b0
40084aa0	c054eb60
bfc57d40	40899610
409bcb60	3fe54440
c1088f08	403f52a0
c0a679a0	c03fc660
c0092aa0	bffb2940
bffa5ec0	bfc59b80
4058f400	3f41b580
40015c60	c0bc8460
3fc40880	3f342c00
3fbd8c40	402781c0
3e8ab000	bf85d500
c0c5a030	c031d160
c00be780	bf126480
c040cf40	4051cc40
bfd520c0	4104cf30
bf9b8640	c0c68770
403af9e0	bea20400
40420a60	c0c8e830
405efb40	3ff05f00
3fe0ee40	3fa649c0
c1453a90	3fa87780
bbfe4000	401b8d00
c00edba0	3fd2f980
41146b78	c10b9250
40059c60	c09f3c50
3f5e4e80	408f8400
3d5cf800	c094d6c0
4016d160	be1d9800
c02555c0	3f1d3500
405e38a0	411b4768
40633140	c0443640
c08a4ab0	c059a6a0
40073980	4074c960
c030e7e0	bd649000
bfcd0640	bfa41300
401dffc0	3f353380
bfbd1ac0	c0132660
c0128520	3f006a00
3fcaa8c0	405d5d40
3f239300	be4f8e00
c0610be0	bff9b900
c0e8a910	40b841e0
c0006a20	410106a8
c0768180	c0b6f870
c02ccba0	3fd7ab80
c0c8cf20	4085ec70
3ebd2b00	c03837c0
3cc39000	3e292800
40a9fb50	3df5f800
c0a31de0	408b57c0
3f70af00	c01e0b80
c07d2920	c0895320
4011f940	c0961ec0
bd0f7000	c0b628a0
40cb0770	bfe1f480
bff85940	401de460
3df83c00	40206c40
bfa65c80	c0abb930
c010ee60	c0a3f920
40ac5d90	4061ff20
bfaead40	bff66fc0
3ed08400	c0105fa0
c04a80e0	405a4440
bf947780	409d1c50
bfd40040	c08bad30
c022d1a0	40149ce0
40d4d4e0	3eea6c00
bf525e00	bfe05fc0
40b3c310	bfdd3e00
c01e9a20	3f0fa880
c05b6c60	3f12bf80
bf9a3d80	4038afc0
400d96c0	bf32f880
40105c20	bfa67580
3e684a00	409f1880
c0978160	bfbba180
c0125840	3fd94e40
bffcb780	3f79b400
3f866b80	c00780e0
c0458840	3f95c280
40c51ec0	bfe49bc0
401d28e0	c0b109a0
3f7d3580	404b2a00
c0b67f10	c087f600
404f5a80	4052e6c0
bf4dec00	c034e840
3f7c9880	4000b4c0
3f927480	3feac900
3d258000	c0c61e30
3f7d7a00	bfae0fc0
40174f40	4056c360
c01305a0	bea0a900
40a973d0	c080bb80
400467e0	bfe716c0
bf1b3500	bf99d740
3ebe1e00	3fbd0a40
bff3dd00	bf966000
404a9b40	408bbdf0
bfc978c0	406cb920
c0375520	40c45760
40cc5f30	402b8400
3f19d300	c0386dc0
3f899c00	3f074f80
3ec95c00	c0ab6530
bf918d80	c001d180
3ff8fd00	bfebc5c0
bd2ee800	c10be468
401a3480	c0d0b3d0
c03928e0	c0b227b0
4088c660	403b09e0
bbd88000	407fef00
c05dbbe0	bf8a2f80
c0066a80	c016ffe0
c09fd590	c0699360
c10867d8	40aaa2b0
bfd92500	c0a80e90
c063d340	3fc55ec0
401451e0	c08ba540
c0abe990	401b03a0
bf43a980	befffd00
bfa4a980	bf95dfc0
40936c30	4055d800
bfa42b00	406d5d60
bfa84140	c0d55650
3fdc58c0	40246da0
408368f0	4068aea0
c11a96b8	40a12fd0
3fc7a400	3ff10f40
c02a8e00	bed5e600
c08f6540	c051f480
3e9ced00	3fa1f4c0
bfd8f8c0	4082e410
bff97180	c09e7360
40bc6080	3f034d80
3e2d4800	bf8eb880
c0c62460	bdccf800
3f10d480	c0266b80
c09b4ff0	40a0a990
3fb93300	3f471a80
40fa02f0	4052ff20
409a40a0	c07c57e0
bf7cdb80	c023f5a0
409026e0	40356280
be7efa00	c0152ba0
40514ee0	c043d520
bf351300	c08f7b10
c06387a0	40707fc0
3f9145c0	3fc1f600
4045c580	c06d9c80
c1119f60	4014f380
40cce480	4036c820
c03ecec0	3fc68340
c0998cf0	bdf52800
c0068480	4090f700
40a272f0	c02e81a0
bf989980	c0e22560
c004ada0	c0192420
3ede9a00	400d70a0
be0ec000	3f410c80
3e42da00	bf862780
4085ff80	c0697180
bfc15600	40bbcd70
bf1d2880	403986a0
3fddcd40	c0e462b0
3f2efa80	c08e23f0
befa8d00	3ec9d400
bf3c3900	c0a95f60
be90cc00	bf0e7c00
c06ef5a0	bed2d100
c0a5ff20	403db680
c0a319e0	4025d320
4085b4f0	c027d5e0
c07457c0	bf974000
c09cd910	c0128d60
c02b48a0	bface080
c032b040	4093e160
40060220	c046fc80
bf8ba880	40791220
c0c16a20	3f8fa100
c109d908	bfa1e8c0
c03d63a0	c0a2dc20
3f1e6300	c04986c0
bfbea540	c02f22c0
c03969a0	4124c1d8
c0962d90	c0cc1b50
40c9ab70	404cdfa0
c0eb4850	c0f65d80
407419c0	3fd3fb80
40897a80	400a17a0
bfa24480	c08f7120
c090c600	405464a0
c0412260	405cbb00
3fd4b480	c0812240
402e64c0	c03a4440
c07b51a0	bf178900
be259800	c0c19630
bf0ae000	3c0b2000
c08067c0	c07d7d20
c0adebd0	c0826550
c034f1a0	400c2840
bfd34840	c08ab8e0
bf9f2640	40bc3040
c0808f70	3ebbdc00
c0275120	c03ca1a0
3c5a4000	c0bad510
404f0920	bfa604c0
3f6d2d00	3e019200
3fb8b440	bf8cc580
c02c87c0	be4b9400
c04af760	c0cbc300
c06c2c60	c08c9990
3f7b4a00	c0c7a2b0
3ea47000	3f11a080
40479a40	3df98800
3fd36900	3fe41340
3ffe13c0	c0a5a050
3f30b300	3fddad80
c051ad20	bfa91fc0
bf9d9c40	408004f0
401b2860	3ea55000
bf38f500	c04559c0
c08da790	4060bd60
3dec8400	3fc79c00
c07b36c0	be514000
c0f99360	40110940
bfb61f40	c0592c60
403ab3c0	3eb9d700
c03d6c80	c07f5f60
3f046a00	40c30fc0
c0ea18f0	c0a25410
be935700	40d2dbd0
be419a00	be5e0200
bed97a00	c1161fb0
40274660	40849ce0
40c2cdf0	c0014820
c0e0f5b0	403045c0
bfc4e0c0	40b291d0
c0baa140	40d47b20
40927cf0	be670600
3e3e0200	40690ce0
c0b80390	3f30c500
4048b9c0	bd93dc00
c0cda7c0	bf4ed700
3ee98200	c0c6cb70
c083a340	c05d6d60
c0c5f840	4029dd00
403b1a60	40a16010
c091eff0	c0760460
3e38b600	4040bbc0
40393aa0	c0d17090
41109368	bd4e7800
40b38720	bfc7f3c0
3f80bf80	41197bb0
3f592b80	40aa7080
3ebbdb00	bf9d0b40
408fa140	3f614100
be3d6e00	40681640
406f1660	bd57f000
c09fb890	c14fe168
bfd99e80	4040ae20
3f898180	4056b640
c0a33b90	bfe74500
4021f000	40655560
4082cc30	c0580a00
406a54e0	3f0d8a00
c08ee060	c02e3c00
3fad3e40	3efd9a00
bff769c0	4093b510
bff27b80	40c02d90
40c354a0	c107f940
40a90940	c04e7400
c05af060	be677400
